<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20190417;160000;164.7200000;165.4000000;164.1700000;165.0400000;4869940
GAZP;60;20190417;170000;165.0300000;165.1200000;163.8700000;163.8700000;3549120
GAZP;60;20190417;180000;163.9000000;164.5900000;163.3700000;164.0900000;3156140
GAZP;60;20190417;190000;164.0300000;164.0700000;163.2000000;164.0000000;2861880
GAZP;60;20190418;110000;163.6200000;163.7900000;162.2000000;162.5900000;4105940
GAZP;60;20190418;120000;162.6000000;162.8500000;162.2700000;162.8200000;1314470
GAZP;60;20190418;130000;162.8500000;162.8700000;162.4400000;162.5900000;854700
GAZP;60;20190418;140000;162.5900000;163.2700000;162.3300000;162.4300000;1579850
GAZP;60;20190418;150000;162.4400000;162.5300000;161.7000000;161.9200000;2466690
GAZP;60;20190418;160000;161.9100000;162.3000000;161.8100000;162.0800000;1533240
GAZP;60;20190418;170000;162.0700000;162.1000000;161.3100000;161.6200000;2961600
GAZP;60;20190418;180000;161.6200000;161.6200000;160.8500000;161.2400000;2692780
GAZP;60;20190418;190000;161.2300000;161.7900000;161.1300000;161.7900000;2109760
GAZP;60;20190419;110000;161.9400000;162.1500000;161.5000000;161.9500000;1110330
GAZP;60;20190419;120000;161.9500000;162.0000000;161.7900000;161.9700000;319660
GAZP;60;20190419;130000;161.9700000;162.0500000;161.8800000;162.0200000;432300
GAZP;60;20190419;140000;162.0500000;162.1100000;161.9400000;162.1000000;280520
GAZP;60;20190419;150000;162.0700000;162.1100000;161.8500000;162.0200000;304740
GAZP;60;20190419;160000;162.0200000;162.0800000;161.9300000;162.0800000;196520
GAZP;60;20190419;170000;162.0300000;162.1000000;162.0200000;162.0600000;167070
GAZP;60;20190419;180000;162.0900000;162.1000000;161.8500000;161.9400000;263550
GAZP;60;20190419;190000;161.9400000;162.5700000;161.9300000;162.5700000;771460
GAZP;60;20190422;110000;163.2100000;164.3400000;163.1800000;163.9100000;2812410
GAZP;60;20190422;120000;163.9500000;164.0000000;163.6000000;163.8200000;1162820
GAZP;60;20190422;130000;163.8200000;163.8400000;163.2900000;163.5000000;486140
GAZP;60;20190422;140000;163.4700000;163.6000000;163.3300000;163.4800000;613500
GAZP;60;20190422;150000;163.4200000;163.4800000;163.0000000;163.1700000;566170
GAZP;60;20190422;160000;163.1500000;163.4600000;162.7600000;163.3300000;703040
GAZP;60;20190422;170000;163.3200000;163.4000000;163.0800000;163.4000000;723680
GAZP;60;20190422;180000;163.3700000;163.4000000;162.8000000;163.2500000;699160
GAZP;60;20190422;190000;163.2700000;163.6000000;163.2000000;163.5000000;1165230
GAZP;60;20190423;110000;163.5800000;163.8500000;162.8100000;163.1400000;1755310
GAZP;60;20190423;120000;163.1000000;163.4600000;162.9200000;163.3800000;1018800
GAZP;60;20190423;130000;163.3700000;163.6000000;163.2000000;163.4900000;1105640
GAZP;60;20190423;140000;163.4900000;163.6000000;163.1100000;163.1800000;641460
GAZP;60;20190423;150000;163.1800000;163.3000000;162.9500000;163.0200000;709030
